"Bolagsnamn";"Info";"Börsvärde";"Aktiekurs";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kurs / MA";"Kurs / MA"
"";"Lista";"Senaste";"Senaste";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"MA 50d";"MA 200d"
"Corem A";"Mid Cap";7005,71484375;19,2000007629395;-0,0153845763206482;0,156626529693604;-0,199999961853027;0,0261893272399902;0,0429681539535522
"CTT Systems";"Mid Cap";1929,46594238281;154;0,0335570478439331;0,232000007629395;-0,304740409851074;0,0095447301864624;0,0997879505157471
"Diamyd Medical";"First North";2189,19897460938;31,6499996185303;-0,0047169691324234;-0,254416980743408;1,16188514709473;0,122818231582642;-0,00241595506668091
"Diös";"Mid Cap";9321,681640625;69,3000030517578;-0,0722890758514404;0,22330099105835;-0,191365165710449;-0,0477237129211426;0,0501551628112793
"Doro";"Small Cap";1380,84204101563;57,7999992370605;0,353629951477051;0,347319297790527;0,450439186096191;0,190525283813477;0,350861892700195
"Duni";"Mid Cap";4878,49609375;103,800003051758;0;0,163677196502686;-0,180094757080078;-0,0108445286750793;0,0915572643280029
"Duroc";"Small Cap";1072,5;27,5;0,0658915042877197;0,0416666793823242;0,0784313726425171;-0,0515933036804199;0,0418442487716675
"Eastnine";"Mid Cap";2702,84204101563;127,800003051758;0,0356564140319824;0,168190135955811;-0,0999999809265137;0,0465801954269409;0,100216150283813
"Elanders";"Mid Cap";6138,14892578125;173,600006103516;1,0666667175293;1,50144088745117;1,2086515045166;0,263243789672852;1,02303886413574
"Electra Gruppen";"Small Cap";322,462005615234;62;0,288981323242188;0,472684135437012;0,538461570739746;0,158575296401978;0,383851280212402
"Electrolux B";"Large Cap";58600,859375;203,899993896484;-0,0168756031990051;0,0959418964385986;0,0485985946655273;0,00970089435577393;0,0835183906555176
"Elekta";"Large Cap";43722,98828125;114,449996948242;-0,00866175830364227;0,0611960935592651;0,130928859710693;-0,0163892507553101;0,079261302947998
"Elos";"Small Cap";943,955993652344;117;0,114285717010498;0,271739139556885;0,206185569763184;0,0481053590774536;0,297318935394287
"Enea";"Mid Cap";5008,5751953125;233,5;0,349710998535156;0,190112152099609;0,572390556335449;0,0766322612762451;0,260101680755615
"Eniro";"Small Cap";82,5294418334961;1,24000000953674;0,250000038146973;-0,173333320617676;1,47505004882813;0,0499931573867798;-0,0131493806838989
"EnQuest";"Mid Cap";4015,50610351563;2,42000007629395;0,830559768676758;0,644021759033203;-0,0457413005828857;0,506192932128906;0,635052337646484
"Ericsson B";"Large Cap";358551,6875;107,900001525879;0,0261531138420105;0,0763092422485352;0,407146606445313;0,0438897609710693;0,0975184440612793
"Etrion";"Small Cap";893,690673828125;2,67499995231628;0,258823509216309;0,659429244995117;0,807432403564453;-0,113122520446777;0,323444976806641
"eWork";"Small Cap";1848,12805175781;107,199996948242;0,472527351379395;0,495118560791016;0,484764556884766;0,203493709564209;0,448247451782227
"Fabege";"Large Cap";39607,33984375;120,650001525879;-0,0959160423278809;0,124417505264282;-0,23128381729126;-0,0341741442680359;0,00933837890625
"Fagerhult";"Mid Cap";8287,43359375;47,0499992370605;0,0891203308105469;0,112293148040771;-0,0881782817840576;-0,0229061841964722;0,116655464172363
"Fastpartner A";"Large Cap";15223,5703125;84;-0,0849673461914063;0,248142585754395;-0,159159173965454;-0,0611377954483032;0,0517946481704712
